                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                 5.4812,                  4.876,                 4.0799,                      0,                      0,                      0,                      0,                 5.9819,                 4.7856,                 4.1122,             0.00040675,             0.00040675,             0.00040675
                      2,                 3.7433,                 3.6004,                 3.3288,                      0,                      0,                      0,                      0,                 6.2147,                  4.933,                 4.4305,             0.00081934,             0.00081934,             0.00081934
                      3,                 3.0066,                 3.1543,                 2.6082,                0.00126,                0.06658,                0.00097,                0.00029,                 4.5314,                 4.0492,                 3.2569,              0.0012278,              0.0012278,              0.0012278
                      4,                 2.7415,                 2.8966,                 2.2156,                0.59582,                0.11166,                0.05198,                 0.0151,                 2.9616,                 2.8294,                 2.4441,              0.0012314,              0.0012314,              0.0012314
                      5,                 2.4855,                 2.6078,                  2.009,                0.67598,                0.21414,                0.16058,                0.05802,                 2.2254,                 2.4202,                  2.017,              0.0012252,              0.0012252,              0.0012252
                      6,                 2.2492,                 2.4298,                 1.8501,                0.45174,                0.27284,                0.19456,                0.07711,                 2.0007,                 2.6001,                  1.807,              0.0012191,              0.0012191,              0.0012191
                      7,                 2.0379,                 2.3197,                 1.7184,                  0.721,                 0.2922,                0.26018,                0.12409,                 1.7435,                 2.2393,                 1.6307,              0.0012129,              0.0012129,              0.0012129
                      8,                 1.9695,                 2.1992,                 1.6652,                0.72953,                0.27717,                0.24877,                0.11421,                 1.7929,                 2.1762,                 1.6621,              0.0012067,              0.0012067,              0.0012067
                      9,                 1.8671,                 2.1666,                 1.6066,                0.74973,                0.29455,                0.27386,                0.12791,                 1.7249,                 2.0827,                 1.6368,              0.0012005,              0.0012005,              0.0012005
                     10,                 1.7938,                 2.1027,                 1.5607,                0.75817,                0.30535,                0.27948,                0.13653,                 1.6299,                 2.0655,                 1.5775,              0.0011943,              0.0011943,              0.0011943
                     11,                 1.7445,                 2.0708,                 1.5288,                 0.6982,                0.28224,                0.27563,                0.14619,                 1.5285,                 1.9887,                 1.5121,              0.0011881,              0.0011881,              0.0011881
                     12,                 1.6885,                 2.0392,                 1.4713,                0.75109,                0.31855,                0.28131,                 0.1509,                 1.5385,                  1.958,                 1.4962,              0.0011819,              0.0011819,              0.0011819
                     13,                 1.6791,                 1.9975,                 1.4704,                0.74287,                0.34524,                0.30043,                0.15432,                 1.4763,                 1.8766,                 1.4614,              0.0011757,              0.0011757,              0.0011757
                     14,                 1.6025,                 1.9228,                 1.4223,                0.75924,                0.33372,                0.30573,                0.16583,                 1.4285,                 1.8658,                 1.4083,              0.0011696,              0.0011696,              0.0011696
                     15,                 1.6123,                 1.9187,                 1.4231,                0.70133,                0.30084,                0.29578,                0.15776,                 1.5406,                 1.9298,                 1.4727,              0.0011634,              0.0011634,              0.0011634
                     16,                 1.5208,                 1.8826,                 1.3994,                0.53557,                0.39952,                0.30797,                0.16885,                 1.4672,                  1.862,                 1.4331,              0.0011572,              0.0011572,              0.0011572
                     17,                 1.5377,                 1.8549,                 1.3854,                0.53426,                0.41692,                0.32157,                0.17109,                 1.5133,                  1.807,                 1.4393,               0.001151,               0.001151,               0.001151
                     18,                  1.549,                  1.862,                 1.3764,                0.75145,                0.34118,                0.32354,                0.18357,                 1.3904,                 1.7757,                 1.3796,              0.0011448,              0.0011448,              0.0011448
                     19,                 1.4828,                 1.8165,                 1.3444,                0.54752,                0.44273,                0.33817,                0.18466,                 1.4034,                 1.7366,                 1.3718,              0.0011386,              0.0011386,              0.0011386
                     20,                  1.492,                 1.8201,                 1.3518,                0.54741,                0.43332,                0.34071,                0.18475,                 1.4311,                 1.7481,                  1.399,              0.0011324,              0.0011324,              0.0011324
                     21,                  1.463,                 1.8205,                 1.3292,                0.60748,                0.44494,                0.35868,                0.20356,                 1.3354,                 1.7425,                 1.3485,              0.0011263,              0.0011263,              0.0011263
                     22,                 1.4314,                 1.7762,                  1.318,                0.49221,                0.42824,                0.34828,                0.20057,                 1.3229,                 1.7326,                 1.3388,              0.0011201,              0.0011201,              0.0011201
                     23,                  1.414,                  1.767,                 1.3105,                0.39168,                 0.4922,                0.37055,                0.20986,                 1.3389,                 1.6851,                  1.342,              0.0011139,              0.0011139,              0.0011139
                     24,                 1.4282,                 1.7399,                 1.2945,                0.37671,                0.49699,                0.36537,                0.20733,                 1.2974,                 1.7004,                  1.318,              0.0011077,              0.0011077,              0.0011077
                     25,                 1.4561,                 1.7803,                 1.3299,                0.54535,                0.44542,                0.36035,                0.20469,                  1.337,                 1.6721,                 1.3433,              0.0011015,              0.0011015,              0.0011015
                     26,                 1.4261,                 1.7417,                 1.2882,                0.34452,                0.48434,                0.36486,                0.20167,                 1.3259,                 1.6743,                 1.3442,              0.0010953,              0.0010953,              0.0010953
                     27,                 1.4119,                  1.757,                 1.2967,                0.35534,                 0.5142,                0.38176,                0.21866,                 1.2822,                 1.6803,                 1.3049,              0.0010891,              0.0010891,              0.0010891
                     28,                 1.3876,                  1.714,                 1.2855,                 0.4039,                0.50768,                0.38644,                0.23103,                 1.2188,                 1.6466,                 1.2695,              0.0010829,              0.0010829,              0.0010829
                     29,                 1.3765,                 1.6978,                 1.2773,                0.58173,                0.43269,                 0.3814,                0.22929,                 1.2477,                 1.6018,                 1.2896,              0.0010768,              0.0010768,              0.0010768
                     30,                 1.3386,                 1.6797,                 1.2541,                0.37373,                0.50706,                0.39062,                0.22497,                 1.2601,                 1.6122,                 1.2879,              0.0010706,              0.0010706,              0.0010706
                     31,                 1.3368,                  1.671,                 1.2677,                0.40673,                0.54532,                 0.4068,                 0.2413,                 1.2267,                 1.6041,                  1.268,              0.0010644,              0.0010644,              0.0010644
                     32,                 1.3563,                 1.6856,                  1.242,                0.45073,                 0.4624,                0.40348,                0.24297,                 1.2104,                 1.5877,                  1.259,              0.0010582,              0.0010582,              0.0010582
                     33,                 1.3546,                 1.6742,                 1.2626,                0.38309,                0.49077,                0.39369,                0.22858,                 1.2466,                 1.5883,                  1.274,               0.001052,               0.001052,               0.001052
                     34,                  1.344,                 1.6764,                 1.2739,                0.40317,                0.49913,                0.39909,                0.23119,                 1.2491,                 1.6333,                 1.2812,              0.0010458,              0.0010458,              0.0010458
                     35,                 1.3243,                 1.6532,                 1.2588,                0.40881,                0.51597,                0.41289,                0.25059,                    1.2,                 1.5514,                 1.2541,              0.0010396,              0.0010396,              0.0010396
                     36,                 1.3136,                 1.6267,                 1.2252,                0.43847,                0.54639,                0.42774,                0.26214,                 1.2016,                 1.5599,                  1.252,              0.0010334,              0.0010334,              0.0010334
                     37,                 1.3217,                 1.6377,                 1.2439,                0.40713,                0.52025,                0.40944,                0.25125,                 1.2172,                 1.5524,                 1.2629,              0.0010273,              0.0010273,              0.0010273
                     38,                 1.3355,                 1.6497,                 1.2471,                0.46319,                0.52385,                0.42933,                0.26278,                 1.1874,                 1.5425,                 1.2459,              0.0010211,              0.0010211,              0.0010211
